From	Entry	Gene.Names..primary.	ENTREZID
O14773	O14773	TPP1	1200
O14776	O14776	TCERG1	10915
O14786	O14786	NRP1	8829
O14787	O14787	TNPO2	30000
O14795	O14795	UNC13B	10497
O14802	O14802	POLR3A	11128
O14818	O14818	PSMA7	5688
O14828	O14828	SCAMP3	10067
O14841	O14841	OPLAH	26873
O14874	O14874	BCKDK	10295
O14879	O14879	IFIT3	3437
O14880	O14880	MGST3	4259
O14896	O14896	IRF6	3664
O14907	O14907	TAX1BP3	30851
O14908	O14908	GIPC1	10755
O14917	O14917	PCDH17	27253
O14933	O14933	UBE2L6	9246
O14936	O14936	CASK	8573
O14939	O14939	PLD2	5338
O14949	O14949	UQCRQ	27089
O14950	O14950	MYL12B	103910
O14957	O14957	UQCR11	10975
O14964	O14964	HGS	9146
O14966	O14966	RAB29	8934
O14967	O14967	CLGN	1047
O14972	O14972	VPS26C	10311
O14974	O14974	PPP1R12A	4659
O14975	O14975	SLC27A2	11001
O14976	O14976	GAK	2580
O14979	O14979	HNRNPDL	9987
O14980	O14980	XPO1	7514
O14981	O14981	BTAF1	9044
O15013	O15013	ARHGEF10	9639
O15020	O15020	SPTBN2	6712
O15021	O15021	MAST4	375449
O15027	O15027	SEC16A	9919
O15031	O15031	PLXNB2	23654
O15034	O15034	RIMBP2	23504
O15042	O15042	U2SURP	23350
O15056	O15056	SYNJ2	8871
O15061	O15061	SYNM	23336
O15066	O15066	KIF3B	9371
O15067	O15067	PFAS	5198
O15068	O15068	MCF2L	23263
O15069	O15069	NACAD	23148
O15079	O15079	SNPH	9751
O15084	O15084	ANKRD28	23243
O15085	O15085	ARHGEF11	9826
O15111	O15111	CHUK	1147
O15116	O15116	LSM1	27257
O15118	O15118	NPC1	4864
O15120	O15120	AGPAT2	10555
O15121	O15121	DEGS1	8560
O15126	O15126	SCAMP1	9522
O15127	O15127	SCAMP2	10066
O15131	O15131	KPNA5	3841
O15143	O15143	ARPC1B	10095
O15144	O15144	ARPC2	10109
O15145	O15145	ARPC3	10094
O15155	O15155	BET1	10282
O15160	O15160	POLR1C	9533
O15173	O15173	PGRMC2	10424
O15211	O15211	RGL2	5863
O15212	O15212	PFDN6	10471
O15228	O15228	GNPAT	8443
O15230	O15230	LAMA5	3911
O15231	O15231	ZNF185	7739
O15240	O15240	VGF	7425
O15247	O15247	CLIC2	1193
O15258	O15258	RER1	11079
O15260	O15260	SURF4	6836
O15264	O15264	MAPK13	5603
O15269	O15269	SPTLC1	10558
O15294	O15294	OGT	8473
O15305	O15305	PMM2	5373
