From	Entry	Gene.Names..primary.	ENTREZID
P02533	P02533	KRT14	3861
P02538	P02538	KRT6A	3853
P02545	P02545	LMNA	4000
P02549	P02549	SPTA1	6708
P02647	P02647	APOA1	335
P02649	P02649	APOE	348
P02652	P02652	APOA2	336
P02654	P02654	APOC1	341
P02655	P02655	APOC2	344
P02656	P02656	APOC3	345
P02671	P02671	FGA	2243
P02675	P02675	FGB	2244
P02679	P02679	FGG	2266
P02686	P02686	MBP	4155
P02724	P02724	GYPA	2993
P02730	P02730	SLC4A1	6521
P02741	P02741	CRP	1401
P02743	P02743	APCS	325
P02748	P02748	C9	735
P02749	P02749	APOH	350
P02751	P02751	FN1	2335
P02753	P02753	RBP4	5950
P02760	P02760	AMBP	259
P02763	P02763	ORM1	5004
P02765	P02765	AHSG	197
P02766	P02766	TTR	7276
P02768	P02768	ALB	213
P02774	P02774	GC	2638
P02778	P02778	CXCL10	3627
P02786	P02786	TFRC	7037
P02787	P02787	TF	7018
P02788	P02788	LTF	4057
P02790	P02790	HPX	3263
P02792	P02792	FTL	2512
P02794	P02794	FTH1	2495
P02795	P02795	MT2A	4502
P03905	P03905	MT-ND4	4538
P03915	P03915	MT-ND5	4540
P03923	P03923	MT-ND6	4541
P03950	P03950	ANG	283
P04004	P04004	VTN	7448
P04040	P04040	CAT	847
P04054	P04054	PLA2G1B	5319
P04062	P04062	GBA1	2629
P04066	P04066	FUCA1	2517
P04075	P04075	ALDOA	226
P04080	P04080	CSTB	1476
P04083	P04083	ANXA1	301
P04118	P04118	CLPS	1208
P04156	P04156	PRNP	5621
P04179	P04179	SOD2	6648
P04181	P04181	OAT	4942
P04216	P04216	THY1	7070
P04233	P04233	CD74	972
P04259	P04259	KRT6B	3854
P04264	P04264	KRT1	3848
P04271	P04271	S100B	6285
P04275	P04275	VWF	7450
P04279	P04279	SEMG1	6406
P04406	P04406	GAPDH	2597
P04424	P04424	ASL	435
P04439	P04439	HLA-A	3105
P04632	P04632	CAPNS1	826
P04746	P04746	AMY2A	279
P04792	P04792	HSPB1	3315
P04839	P04839	CYBB	1536
P04843	P04843	RPN1	6184
P04844	P04844	RPN2	6185
P04899	P04899	GNAI2	2771
P04921	P04921	GYPC	2995
P05023	P05023	ATP1A1	476
P05026	P05026	ATP1B1	481
P05060	P05060	CHGB	1114
P05062	P05062	ALDOB	229
P05067	P05067	APP	351
P05089	P05089	ARG1	383
P05090	P05090	APOD	347
P05091	P05091	ALDH2	217
P05107	P05107	ITGB2	3689
P05109	P05109	S100A8	6279
P05114	P05114	HMGN1	3150
P05141	P05141	SLC25A5	292
P05155	P05155	SERPING1	710
P05156	P05156	CFI	3426
P05161	P05161	ISG15	9636
P05162	P05162	LGALS2	3957
P05164	P05164	MPO	4353
P05165	P05165	PCCA	5095
P05166	P05166	PCCB	5096
P05186	P05186	ALPL	249
P05198	P05198	EIF2S1	1965
P05204	P05204	HMGN2	3151
P05362	P05362	ICAM1	3383
P05386	P05386	RPLP1	6176
P05387	P05387	RPLP2	6181
P05388	P05388	RPLP0	6175
P05408	P05408	SCG5	6447
P05413	P05413	FABP3	2170
P05451	P05451	REG1A	5967
P05455	P05455	SSB	6741
P05556	P05556	ITGB1	3688
P05783	P05783	KRT18	3875
P05787	P05787	KRT8	3856
P05937	P05937	CALB1	793
P05981	P05981	HPN	3249
P05997	P05997	COL5A2	1290
P06132	P06132	UROD	7389
P06213	P06213	INSR	3643
P06280	P06280	GLA	2717
P06396	P06396	GSN	2934
P06401	P06401	PGR	5241
P06454	P06454	PTMA	5757
P06493	P06493	CDK1	983
P06576	P06576	ATP5F1B	506
P06702	P06702	S100A9	6280
P06703	P06703	S100A6	6277
P06727	P06727	APOA4	337
P06730	P06730	EIF4E	1977
P06733	P06733	ENO1	2023
P06737	P06737	PYGL	5836
P06744	P06744	GPI	2821
P06746	P06746	POLB	5423
P06748	P06748	NPM1	4869
P06753	P06753	TPM3	7170
P06756	P06756	ITGAV	3685
P06850	P06850	CRH	1392
P06865	P06865	HEXA	3073
P06870	P06870	KLK1	3816
P06899	P06899	H2BC11	8970
P07093	P07093	SERPINE2	5270
P07099	P07099	EPHX1	2052
P07108	P07108	DBI	1622
P07195	P07195	LDHB	3945
P07196	P07196	NEFL	4747
P07197	P07197	NEFM	4741
P07203	P07203	GPX1	2876
P07204	P07204	THBD	7056
P07237	P07237	P4HB	5034
P07305	P07305	H1-0	3005
P07311	P07311	ACYP1	97
P07332	P07332	FES	2242
P07339	P07339	CTSD	1509
P07355	P07355	ANXA2	302
P07384	P07384	CAPN1	823
P07437	P07437	TUBB	203068
P07451	P07451	CA3	761
P07476	P07476	IVL	3713
P07477	P07477	PRSS1	5644
P07478	P07478	PRSS2	5645
P07585	P07585	DCN	1634
P07602	P07602	PSAP	5660
P07686	P07686	HEXB	3074
P07737	P07737	PFN1	5216
P07738	P07738	BPGM	669
P07741	P07741	APRT	353
P07814	P07814	EPRS1	2058
P07858	P07858	CTSB	1508
P07900	P07900	HSP90AA1	3320
P07902	P07902	GALT	2592
P07910	P07910	HNRNPC	3183
P07919	P07919	UQCRH	7388
P07942	P07942	LAMB1	3912
P07947	P07947	YES1	7525
P07948	P07948	LYN	4067
P07951	P07951	TPM2	7169
P07954	P07954	FH	2271
P07996	P07996	THBS1	7057
P08123	P08123	COL1A2	1278
P08133	P08133	ANXA6	309
P08134	P08134	RHOC	389
P08183	P08183	ABCB1	5243
P08195	P08195	SLC3A2	6520
P08217	P08217	CELA2A	63036
P08218	P08218	CELA2B	51032
P08236	P08236	GUSB	2990
P08237	P08237	PFKM	5213
P08238	P08238	HSP90AB1	3326
P08240	P08240	SRPRA	6734
P08243	P08243	ASNS	440
P08246	P08246	ELANE	1991
P08247	P08247	SYP	6855
P08263	P08263	GSTA1	2938
P08294	P08294	SOD3	6649
P08311	P08311	CTSG	1511
P08559	P08559	PDHA1	5160
P08567	P08567	PLEK	5341
P08571	P08571	CD14	929
P08572	P08572	COL4A2	1284
P08574	P08574	CYC1	1537
P08575	P08575	PTPRC	5788
P08579	P08579	SNRPB2	6629
P08621	P08621	SNRNP70	6625
P08651	P08651	NFIC	4782
P08670	P08670	VIM	7431
P08708	P08708	RPS17	6218
P08727	P08727	KRT19	3880
P08729	P08729	KRT7	3855
P08754	P08754	GNAI3	2773
P08758	P08758	ANXA5	308
P08779	P08779	KRT16	3868
P08842	P08842	STS	412
P08861	P08861	CELA3B	23436
P08865	P08865	RPSA	3921
P08913	P08913	ADRA2A	150
P08962	P08962	CD63	967
P09001	P09001	MRPL3	11222
P09012	P09012	SNRPA	6626
P09093	P09093	CELA3A	10136
P09104	P09104	ENO2	2026
P09105	P09105	HBQ1	3049
P09110	P09110	ACAA1	30
P09132	P09132	SRP19	6728
P09210	P09210	GSTA2	2939
P09211	P09211	GSTP1	2950
P09234	P09234	SNRPC	6631
P09327	P09327	VIL1	7429
P09341	P09341	CXCL1	2919
P09382	P09382	LGALS1	3956
P09417	P09417	QDPR	5860
P09429	P09429	HMGB1	3146
P09455	P09455	RBP1	5947
P09467	P09467	FBP1	2203
P09471	P09471	GNAO1	2775
P09486	P09486	SPARC	6678
P09488	P09488	GSTM1	2944
P09493	P09493	TPM1	7168
P09496	P09496	CLTA	1211
P09497	P09497	CLTB	1212
P09525	P09525	ANXA4	307
P09543	P09543	CNP	1267
P09619	P09619	PDGFRB	5159
P09622	P09622	DLD	1738
P09651	P09651	HNRNPA1	3178
P09661	P09661	SNRPA1	6627
P09668	P09668	CTSH	1512
P09669	P09669	COX6C	1345
P09758	P09758	TACSTD2	4070
P09871	P09871	C1S	716
P09874	P09874	PARP1	142
P09914	P09914	IFIT1	3434
P09917	P09917	ALOX5	240
P09936	P09936	UCHL1	7345
P09958	P09958	FURIN	5045
P09960	P09960	LTA4H	4048
P09972	P09972	ALDOC	230
P0C0L4	P0C0L4	C4A	720
P0C0L5	P0C0L5	C4B; C4B_2	721
P0C0S5	P0C0S5	H2AZ1	3015
P0C2W1	P0C2W1	FBXO45	200933
P0C7P0	P0C7P0	CISD3	284106
P0C870	P0C870	JMJD7	100137047
P0CG29	P0CG29	GSTT2	2953
P0CG37	P0CG37	CFC1	55997
P0CW23	P0CW23	AKAIN1	642597
P0DJI8	P0DJI8	SAA1	6288
P0DMV8	P0DMV8	HSPA1A	3303
P0DOX5	P0DOX5	NA	NA
P0DOY2	P0DOY2	IGLC2	3538
P0DP23	P0DP23	CALM1	801
P0DPA2	P0DPA2	VSIG8	391123
P0DPH7	P0DPH7	TUBA3C	7278
P0DTE7	P0DTE7	AMY1B	276
P10109	P10109	FDX1	2230
P10155	P10155	RO60	6738
P10253	P10253	GAA	2548
P10301	P10301	RRAS	6237
P10321	P10321	HLA-C	3107
P10398	P10398	ARAF	369
P10412	P10412	H1-4	3008
P10451	P10451	SPP1	6696
P10515	P10515	DLAT	1737
P10586	P10586	PTPRF	5792
P10589	P10589	NR2F1	7025
P10599	P10599	TXN	7295
P10606	P10606	COX5B	1329
P10619	P10619	CTSA	5476
P10620	P10620	MGST1	4257
P10636	P10636	MAPT	4137
P10643	P10643	C7	730
P10644	P10644	PRKAR1A	5573
P10645	P10645	CHGA	1113
P10768	P10768	ESD	2098
P10809	P10809	HSPD1	3329
P10909	P10909	CLU	1191
P10997	P10997	IAPP	3375
P11021	P11021	HSPA5	3309
P11047	P11047	LAMC1	3915
P11117	P11117	ACP2	53
P11137	P11137	MAP2	4133
P11142	P11142	HSPA8	3312
P11166	P11166	SLC2A1	6513
P11171	P11171	EPB41	2035
P11172	P11172	UMPS	7372
P11177	P11177	PDHB	5162
P11182	P11182	DBT	1629
P11215	P11215	ITGAM	3684
P11216	P11216	PYGB	5834
P11233	P11233	RALA	5898
P11234	P11234	RALB	5899
P11274	P11274	BCR	613
P11277	P11277	SPTB	6710
P11279	P11279	LAMP1	3916
P11308	P11308	ERG	2078
P11310	P11310	ACADM	34
P11387	P11387	TOP1	7150
P11413	P11413	G6PD	2539
P11498	P11498	PC	5091
P11532	P11532	DMD	1756
P11586	P11586	MTHFD1	4522
P11717	P11717	IGF2R	3482
P11766	P11766	ADH5	128
P11802	P11802	CDK4	1019
P11908	P11908	PRPS2	5634
P11940	P11940	PABPC1	26986
P12004	P12004	PCNA	5111
P12035	P12035	KRT3	3850
P12074	P12074	COX6A1	1337
P12081	P12081	HARS1	3035
P12109	P12109	COL6A1	1291
P12110	P12110	COL6A2	1292
P12111	P12111	COL6A3	1293
P12235	P12235	SLC25A4	291
P12236	P12236	SLC25A6	293
P12268	P12268	IMPDH2	3615
P12270	P12270	TPR	7175
P12273	P12273	PIP	5304
P12277	P12277	CKB	1152
P12429	P12429	ANXA3	306
P12532	P12532	CKMT1A; CKMT1B	1159
P12694	P12694	BCKDHA	593
P12814	P12814	ACTN1	87
P12821	P12821	ACE	1636
P12830	P12830	CDH1	999
P12931	P12931	SRC	6714
P12955	P12955	PEPD	5184
P12956	P12956	XRCC6	2547
P13010	P13010	XRCC5	7520
P13051	P13051	UNG	7374
P13073	P13073	COX4I1	1327
P13284	P13284	IFI30	10437
P13473	P13473	LAMP2	3920
P13489	P13489	RNH1	6050
P13521	P13521	SCG2	7857
P13569	P13569	CFTR	1080
P13591	P13591	NCAM1	4684
P13611	P13611	VCAN	1462
P13639	P13639	EEF2	1938
P13645	P13645	KRT10	3858
P13647	P13647	KRT5	3852
P13667	P13667	PDIA4	9601
P13671	P13671	C6	729
P13674	P13674	P4HA1	5033
P13688	P13688	CEACAM1	634
P13693	P13693	TPT1	7178
P13716	P13716	ALAD	210
P13726	P13726	F3	2152
P13727	P13727	PRG2	5553
P13747	P13747	HLA-E	3133
P13762	P13762	HLA-DRB4	3126
P13796	P13796	LCP1	3936
P13797	P13797	PLS3	5358
P13798	P13798	APEH	327
P13804	P13804	ETFA	2108
P13807	P13807	GYS1	2997
P13861	P13861	PRKAR2A	5576
P13984	P13984	GTF2F2	2963
P13987	P13987	CD59	966
P14138	P14138	EDN3	1908
P14174	P14174	MIF	4282
P14209	P14209	CD99	4267
P14314	P14314	PRKCSH	5589
P14317	P14317	HCLS1	3059
P14324	P14324	FDPS	2224
P14384	P14384	CPM	1368
P14406	P14406	COX7A2	1347
P14543	P14543	NID1	4811
P14550	P14550	AKR1A1	10327
P14618	P14618	PKM	5315
P14621	P14621	ACYP2	98
P14625	P14625	HSP90B1	7184
P14649	P14649	MYL6B	140465
P14678	P14678	SNRPB	6628
P14735	P14735	IDE	3416
P14854	P14854	COX6B1	1340
P14859	P14859	POU2F1	5451
P14866	P14866	HNRNPL	3191
P14868	P14868	DARS1	1615
P14902	P14902	IDO1	3620
P14923	P14923	JUP	3728
P14927	P14927	UQCRB	7381
P15056	P15056	BRAF	673
P15085	P15085	CPA1	1357
P15086	P15086	CPB1	1360
P15088	P15088	CPA3	1359
P15090	P15090	FABP4	2167
P15104	P15104	GLUL	2752
P15121	P15121	AKR1B1	231
P15144	P15144	ANPEP	290
P15151	P15151	PVR	5817
P15170	P15170	GSPT1	2935
P15289	P15289	ARSA	410
P15309	P15309	ACP3	55
P15311	P15311	EZR	7430
P15336	P15336	ATF2	1386
P15374	P15374	UCHL3	7347
P15502	P15502	ELN	2006
P15529	P15529	CD46	4179
P15531	P15531	NME1	4830
P15559	P15559	NQO1	1728
P15586	P15586	GNS	2799
P15735	P15735	PHKG2	5261
P15848	P15848	ARSB	411
P15880	P15880	RPS2	6187
P15882	P15882	CHN1	1123
P15924	P15924	DSP	1832
P15927	P15927	RPA2	6118
P15941	P15941	MUC1	4582
P15954	P15954	COX7C	1350
P16035	P16035	TIMP2	7077
P16070	P16070	CD44	960
P16104	P16104	H2AX	3014
P16144	P16144	ITGB4	3691
P16152	P16152	CBR1	873
P16157	P16157	ANK1	286
P16219	P16219	ACADS	35
P16220	P16220	CREB1	1385
P16233	P16233	PNLIP	5406
P16234	P16234	PDGFRA	5156
P16278	P16278	GLB1	2720
P16284	P16284	PECAM1	5175
P16298	P16298	PPP3CB	5532
P16333	P16333	NCK1	4690
P16389	P16389	KCNA2	3737
P16401	P16401	H1-5	3009
P16403	P16403	H1-2	3006
P16422	P16422	EPCAM	4072
P16435	P16435	POR	5447
P16444	P16444	DPEP1	1800
P16452	P16452	EPB42	2038
P16455	P16455	MGMT	4255
P16519	P16519	PCSK2	5126
P16615	P16615	ATP2A2	488
P16671	P16671	CD36	948
P16870	P16870	CPE	1363
P16885	P16885	PLCG2	5336
P16930	P16930	FAH	2184
P16949	P16949	STMN1	3925
P16989	P16989	YBX3	8531
P17026	P17026	ZNF22	7570
P17028	P17028	ZNF24	7572
P17029	P17029	ZKSCAN1	7586
P17050	P17050	NAGA	4668
P17066	P17066	HSPA6	3310
P17096	P17096	HMGA1	3159
P17152	P17152	TMEM11	8834
P17174	P17174	GOT1	2805
P17252	P17252	PRKCA	5578
P17301	P17301	ITGA2	3673
P17405	P17405	SMPD1	6609
P17480	P17480	UBTF	7343
P17535	P17535	JUND	3727
P17538	P17538	CTRB1	1504
P17540	P17540	CKMT2	1160
P17544	P17544	ATF7	11016
P17568	P17568	NDUFB7	4713
P17600	P17600	SYN1	6853
P17612	P17612	PRKACA	5566
P17655	P17655	CAPN2	824
P17677	P17677	GAP43	2596
P17812	P17812	CTPS1	1503
P17813	P17813	ENG	2022
P17844	P17844	DDX5	1655
P17858	P17858	PFKL	5211
P17900	P17900	GM2A	2760
P17931	P17931	LGALS3	3958
P17980	P17980	PSMC3	5702
P17987	P17987	TCP1	6950
P18031	P18031	PTPN1	5770
P18065	P18065	IGFBP2	3485
P18074	P18074	ERCC2	2068
P18077	P18077	RPL35A	6165
P18084	P18084	ITGB5	3693
P18085	P18085	ARF4	378
P18124	P18124	RPL7	6129
P18206	P18206	VCL	7414
P18428	P18428	LBP	3929
P18440	P18440	NAT1	9
P18509	P18509	ADCYAP1	116
P18583	P18583	SON	6651
P18615	P18615	NELFE	7936
P18621	P18621	RPL17	6139
P18669	P18669	PGAM1	5223
P18754	P18754	RCC1	1104
P18859	P18859	ATP5PF	522
P18887	P18887	XRCC1	7515
P19012	P19012	KRT15	3866
P19013	P19013	KRT4	3851
P19021	P19021	PAM	5066
P19022	P19022	CDH2	1000
P19075	P19075	TSPAN8	7103
P19086	P19086	GNAZ	2781
P19174	P19174	PLCG1	5335
P19320	P19320	VCAM1	7412
P19338	P19338	NCL	4691
P19367	P19367	HK1	3098
P19387	P19387	POLR2C	5432
P19388	P19388	POLR2E	5434
P19404	P19404	NDUFV2	4729
P19440	P19440	GGT1	2678
P19447	P19447	ERCC3	2071
P19474	P19474	TRIM21	6737
P19484	P19484	TFEB	7942
P19525	P19525	EIF2AK2	5610
P19623	P19623	SRM	6723
P19652	P19652	ORM2	5005
P19784	P19784	CSNK2A2	1459
P19793	P19793	RXRA	6256
P19823	P19823	ITIH2	3698
P19827	P19827	ITIH1	3697
P19835	P19835	CEL	1056
P19838	P19838	NFKB1	4790
P19961	P19961	AMY2B	280
P19971	P19971	TYMP	1890
P20020	P20020	ATP2B1	490
P20036	P20036	HLA-DPA1	3113
P20042	P20042	EIF2S2	8894
P20062	P20062	TCN2	6948
P20073	P20073	ANXA7	310
P20231	P20231	TPSB2	64499
P20290	P20290	BTF3	689
P20292	P20292	ALOX5AP	241
P20336	P20336	RAB3A	5864
P20337	P20337	RAB3B	5865
P20338	P20338	RAB4A	5867
P20339	P20339	RAB5A	5868
P20340	P20340	RAB6A	5870
P20585	P20585	MSH3	4437
P20591	P20591	MX1	4599
P20618	P20618	PSMB1	5689
P20645	P20645	M6PR	4074
P20674	P20674	COX5A	9377
P20700	P20700	LMNB1	4001
P20711	P20711	DDC	1644
P20774	P20774	OGN	4969
P20810	P20810	CAST	831
P20908	P20908	COL5A1	1289
P20930	P20930	FLG	2312
P20936	P20936	RASA1	5921
P20962	P20962	PTMS	5763
P21127	P21127	CDK11B	984
P21266	P21266	GSTM3	2947
P21281	P21281	ATP6V1B2	526
P21283	P21283	ATP6V1C1	528
P21291	P21291	CSRP1	1465
P21333	P21333	FLNA	2316
P21359	P21359	NF1	4763
P21397	P21397	MAOA	4128
P21399	P21399	ACO1	48
P21579	P21579	SYT1	6857
P21589	P21589	NT5E	4907
P21695	P21695	GPD1	2819
P21796	P21796	VDAC1	7416
P21810	P21810	BGN	633
P21912	P21912	SDHB	6390
P21926	P21926	CD9	928
P21953	P21953	BCKDHB	594
P21964	P21964	COMT	1312
P21980	P21980	TGM2	7052
P22033	P22033	MMUT	4594
P22059	P22059	OSBP	5007
P22061	P22061	PCMT1	5110
P22087	P22087	FBL	2091
P22090	P22090	RPS4Y1	6192
P22102	P22102	GART	2618
P22105	P22105	TNXB	7148
P22234	P22234	PAICS	10606
P22307	P22307	SCP2	6342
P22314	P22314	UBA1	7317
P22352	P22352	GPX3	2878
P22392	P22392	NME2	4831
P22413	P22413	ENPP1	5167
P22528	P22528	SPRR1B	6699
P22570	P22570	FDXR	2232
P22626	P22626	HNRNPA2B1	3181
P22670	P22670	RFX1	5989
P22694	P22694	PRKACB	5567
P22695	P22695	UQCRC2	7385
P22735	P22735	TGM1	7051
P22748	P22748	CA4	762
P22830	P22830	FECH	2235
P23025	P23025	XPA	7507
P23141	P23141	CES1	1066
P23142	P23142	FBLN1	2192
P23193	P23193	TCEA1	6917
P23229	P23229	ITGA6	3655
P23246	P23246	SFPQ	6421
P23258	P23258	TUBG1	7283
P23284	P23284	PPIB	5479
P23368	P23368	ME2	4200
P23381	P23381	WARS1	7453
P23396	P23396	RPS3	6188
P23434	P23434	GCSH	2653
P23490	P23490	LORICRIN	4014
P23497	P23497	SP100	6672
P23508	P23508	MCC	4163
P23526	P23526	AHCY	191
P23528	P23528	CFL1	1072
P23588	P23588	EIF4B	1975
P23610	P23610	F8A1; F8A2; F8A3	8263
P23634	P23634	ATP2B4	493
P23786	P23786	CPT2	1376
P23919	P23919	DTYMK	1841
P23946	P23946	CMA1	1215
P24043	P24043	LAMA2	3908
P24158	P24158	PRTN3	5657
P24310	P24310	COX7A1	1346
P24386	P24386	CHM	1121
P24534	P24534	EEF1B2	1933
P24539	P24539	ATP5PB	515
P24593	P24593	IGFBP5	3488
P24666	P24666	ACP1	52
P24752	P24752	ACAT1	38
P24821	P24821	TNC	3371
P24844	P24844	MYL9	10398
P24928	P24928	POLR2A	5430
P25098	P25098	GRK2	156
P25208	P25208	NFYB	4801
P25311	P25311	AZGP1	563
P25325	P25325	MPST	4357
P25398	P25398	RPS12	6206
P25440	P25440	BRD2	6046
P25490	P25490	YY1	7528
P25685	P25685	DNAJB1	3337
P25686	P25686	DNAJB2	3300
P25705	P25705	ATP5F1A	498
P25786	P25786	PSMA1	5682
P25787	P25787	PSMA2	5683
P25788	P25788	PSMA3	5684
P25789	P25789	PSMA4	5685
P25815	P25815	S100P	6286
P25940	P25940	COL5A3	50509
P25963	P25963	NFKBIA	4792
P26006	P26006	ITGA3	3675
P26022	P26022	PTX3	5806
P26038	P26038	MSN	4478
P26196	P26196	DDX6	1656
P26232	P26232	CTNNA2	1496
P26358	P26358	DNMT1	1786
P26367	P26367	PAX6	5080
P26368	P26368	U2AF2	11338
P26373	P26373	RPL13	6137
P26378	P26378	ELAVL4	1996
P26440	P26440	IVD	3712
P26447	P26447	S100A4	6275
P26572	P26572	MGAT1	4245
P26583	P26583	HMGB2	3148
P26599	P26599	PTBP1	5725
P26639	P26639	TARS1	6897
P26640	P26640	VARS1	7407
P26641	P26641	EEF1G	1937
P26885	P26885	FKBP2	2286
P27105	P27105	STOM	2040
P27144	P27144	AK4	205
P27338	P27338	MAOB	4129
P27348	P27348	YWHAQ	10971
P27361	P27361	MAPK3	5595
P27448	P27448	MARK3	4140
P27449	P27449	ATP6V0C	527
P27482	P27482	CALML3	810
P27487	P27487	DPP4	1803
P27635	P27635	RPL10	6134
P27694	P27694	RPA1	6117
P27695	P27695	APEX1	328
P27701	P27701	CD82	3732
P27707	P27707	DCK	1633
P27708	P27708	CAD	790
P27797	P27797	CALR	811
P27816	P27816	MAP4	4134
P27824	P27824	CANX	821
P27986	P27986	PIK3R1	5295
P28062	P28062	PSMB8	5696
P28065	P28065	PSMB9	5698
P28066	P28066	PSMA5	5686
P28070	P28070	PSMB4	5692
P28072	P28072	PSMB6	5694
P28074	P28074	PSMB5	5693
P28161	P28161	GSTM2	2946
P28288	P28288	ABCD3	5825
P28289	P28289	TMOD1	7111
P28331	P28331	NDUFS1	4719
P28340	P28340	POLD1	5424
P28370	P28370	SMARCA1	6594
P28482	P28482	MAPK1	5594
P28676	P28676	GCA	25801
P28702	P28702	RXRB	6257
P28799	P28799	GRN	2896
P28838	P28838	LAP3	51056
P28906	P28906	CD34	947
P29084	P29084	GTF2E2	2961
P29120	P29120	PCSK1	5122
P29144	P29144	TPP2	7174
P29218	P29218	IMPA1	3612
P29350	P29350	PTPN6	5777
P29353	P29353	SHC1	6464
P29372	P29372	MPG	4350
P29375	P29375	KDM5A	5927
P29401	P29401	TKT	7086
P29508	P29508	SERPINB3	6317
P29590	P29590	PML	5371
P29622	P29622	SERPINA4	5267
P29692	P29692	EEF1D	1936
P29966	P29966	MARCKS	4082
P29972	P29972	AQP1	358
P29992	P29992	GNA11	2767
P30038	P30038	ALDH4A1	8659
P30039	P30039	PBLD	64081
P30040	P30040	ERP29	10961
P30041	P30041	PRDX6	9588
P30043	P30043	BLVRB	645
P30044	P30044	PRDX5	25824
P30046	P30046	DDT	1652
P30048	P30048	PRDX3	10935
P30049	P30049	ATP5F1D	513
P30050	P30050	RPL12	6136
P30084	P30084	ECHS1	1892
P30085	P30085	CMPK1	51727
P30086	P30086	PEBP1	5037
P30101	P30101	PDIA3	2923
P30153	P30153	PPP2R1A	5518
P30260	P30260	CDC27	996
P30273	P30273	FCER1G	2207
P30405	P30405	PPIF	10105
P30419	P30419	NMT1	4836
P30519	P30519	HMOX2	3163
P30520	P30520	ADSS2	159
P30533	P30533	LRPAP1	4043
P30536	P30536	TSPO	706
P30566	P30566	ADSL	158
P30613	P30613	PKLR	5313
P30622	P30622	CLIP1	6249
P30626	P30626	SRI	6717
P30711	P30711	GSTT1	2952
P30740	P30740	SERPINB1	1992
P30793	P30793	GCH1	2643
P30837	P30837	ALDH1B1	219
P30874	P30874	SSTR2	6752
P30876	P30876	POLR2B	5431
P31025	P31025	LCN1	3933
P31040	P31040	SDHA	6389
P31146	P31146	CORO1A	11151
P31150	P31150	GDI1	2664
P31151	P31151	S100A7	6278
P31153	P31153	MAT2A	4144
P31323	P31323	PRKAR2B	5577
P31431	P31431	SDC4	6385
P31483	P31483	TIA1	7072
P31689	P31689	DNAJA1	3301
P31749	P31749	AKT1	207
P31751	P31751	AKT2	208
P31930	P31930	UQCRC1	7384
P31937	P31937	HIBADH	11112
P31939	P31939	ATIC	471
P31942	P31942	HNRNPH3	3189
P31943	P31943	HNRNPH1	3187
P31944	P31944	CASP14	23581
P31946	P31946	YWHAB	7529
P31948	P31948	STIP1	10963
P31949	P31949	S100A11	6282
P32004	P32004	L1CAM	3897
P32119	P32119	PRDX2	7001
P32189	P32189	GK	2710
P32321	P32321	DCTD	1635
P32322	P32322	PYCR1	5831
P32455	P32455	GBP1	2633
P32456	P32456	GBP2	2634
P32519	P32519	ELF1	1997
P32856	P32856	STX2	2054
P32929	P32929	CTH	1491
P32969	P32969	RPL9; RPL9P7; RPL9P8; RPL9P9	6133
P33121	P33121	ACSL1	2180
P33151	P33151	CDH5	1003
P33176	P33176	KIF5B	3799
P33240	P33240	CSTF2	1478
P33241	P33241	LSP1	4046
P33316	P33316	DUT	1854
P33402	P33402	GUCY1A2	2977
P33527	P33527	ABCC1	4363
P33897	P33897	ABCD1	215
P33908	P33908	MAN1A1	4121
P33947	P33947	KDELR2	11014
P33991	P33991	MCM4	4173
P34059	P34059	GALNS	2588
P34096	P34096	RNASE4	6038
P34741	P34741	SDC2	6383
P34897	P34897	SHMT2	6472
P34913	P34913	EPHX2	2053
P34931	P34931	HSPA1L	3305
P34932	P34932	HSPA4	3308
P34949	P34949	MPI	4351
P35030	P35030	PRSS3	5646
P35052	P35052	GPC1	2817
P35080	P35080	PFN2	5217
P35219	P35219	CA8	767
P35221	P35221	CTNNA1	1495
P35222	P35222	CTNNB1	1499
P35226	P35226	BMI1	648
P35232	P35232	PHB1	5245
P35237	P35237	SERPINB6	5269
P35241	P35241	RDX	5962
P35244	P35244	RPA3	6119
P35249	P35249	RFC4	5984
P35250	P35250	RFC2	5982
P35251	P35251	RFC1	5981
P35268	P35268	RPL22	6146
P35269	P35269	GTF2F1	2962
P35270	P35270	SPR	6697
P35318	P35318	ADM	133
P35354	P35354	PTGS2	5743
P35443	P35443	THBS4	7060
P35475	P35475	IDUA	3425
P35520	P35520	CBS	875
P35527	P35527	KRT9	3857
P35555	P35555	FBN1	2200
P35557	P35557	GCK	2645
P35573	P35573	AGL	178
P35579	P35579	MYH9	4627
P35580	P35580	MYH10	4628
P35606	P35606	COPB2	9276
P35610	P35610	SOAT1	6646
P35611	P35611	ADD1	118
P35612	P35612	ADD2	119
P35613	P35613	BSG	682
P35637	P35637	FUS	2521
P35658	P35658	NUP214	8021
P35659	P35659	DEK	7913
P35749	P35749	MYH11	4629
P35754	P35754	GLRX	2745
P35813	P35813	PPM1A	5494
P35908	P35908	KRT2	3849
P35914	P35914	HMGCL	3155
P35998	P35998	PSMC2	5701
P36269	P36269	GGT5	2687
P36404	P36404	ARL2	402
P36405	P36405	ARL3	403
P36507	P36507	MAP2K2	5605
P36542	P36542	ATP5F1C	509
P36543	P36543	ATP6V1E1	529
P36551	P36551	CPOX	1371
P36578	P36578	RPL4	6124
P36776	P36776	LONP1	9361
P36871	P36871	PGM1	5236
P36873	P36873	PPP1CC	5501
P36915	P36915	GNL1	2794
P36954	P36954	POLR2I	5438
